# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
བདུད་རྣམས་དཔུང་དང་བཅས་པས་རྣོ་བ་ཡི། །རལ་གྲི་ཐོགས་ནས་བྱང་ཆུབ་དྲུང་ལྷགས་ཀྱང་། །ཁྱོད་ཀྱི་བ་སྤུ་ཙམ་ཡང་མ་གཡོས་ཏེ། །	bdud rnams dpung dang bcas pas rno ba yi/_/ral gri thogs nas byang chub drung lhags kyang /_/khyod kyi ba spu tsam yang ma g.yos te/_/
གཞན་ཡང་བུད་མེད་མིག་ལ་ཁ་ཟས་ལས་སྐྱེས་པ་ཤའི་གོང་བུ་ངོ་བོ་ཉིད་ཀྱིས་སྟོང་པ་རང་བཞིན་གྱིས་དབེན་པར་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་སོ་སོར་རྟོག་པ་དང་། དེ་བཞིན་དུ་རྣ་བ་དང་། སྣ་དང་། ལྕེ་དང་། ལུས་དང་། ཡིད་ལ་ངོ་བོ་ཉིད་ཀྱིས་སྟོང་པ་དང་། རང་བཞིན་གྱིས་དབེན་པར་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་སོ་སོར་རྟོག་པའོ། །	gzhan yang bud med mig la kha zas las skyes pa sha'i gong bu ngo bo nyid kyis stong pa rang bzhin gyis dben par yang dag pa ji lta ba bzhin du so sor rtog pa dang /_de bzhin du rna ba dang /_sna dang /_lce dang /_lus dang /_yid la ngo bo nyid kyis stong pa dang /_rang bzhin gyis dben par yang dag pa ji lta ba bzhin du so sor rtog pa'o/_/
བདག་ཅག་བྱང་ཆུབ་ཀྱི་སེམས་ཡང་དག་པར་འཛིན་པ་སྩལ་ཏོ། །	bdag cag byang chub kyi sems yang dag par 'dzin pa stsal to/_/
སེམས་དང་ཡིད་ནི་མཚུངས་པ་དབེན་པར་གྱུར། །རྒྱལ་བ་ཐམས་ཅད་ཆོས་མཚུངས་ཉིད་ཕྱིར་མཉམ། །	sems dang yid ni mtshungs pa dben par gyur/_/rgyal ba thams cad chos mtshungs nyid phyir mnyam/_/
གྲོགས་པོ་དག་བྱང་ཆུབ་སེམས་དཔའ་ལ་བདེ་བར་སྦྱར་བ་ཉེ་བར་བསྒྲུབས་པ་ནི་སེམས་ཅན་ཐམས་ཅད་ལ་བདེ་བར་སྦྱར་བ་ཉེ་བར་བསྒྲུབས་པར་འགྱུར་རོ། །	grogs po dag byang chub sems dpa' la bde bar sbyar ba nye bar bsgrubs pa ni sems can thams cad la bde bar sbyar ba nye bar bsgrubs par 'gyur ro/_/
རིགས་པ་སྤྱོད་དང་ཐབས་ལ་སྤྱོད་པ་དང་། །བསམ་གཏན་བདེ་ལས་ལྡོག་པར་སྤྱོད་པ་དང་། །བྱང་ཆུབ་མཆོག་གི་སྤྱོད་པ་གང་སྤྱོད་པ། །དེ་དག་མི་ཤེས་སྤྱོད་པ་མེད་པ་ཡིན། །	rigs pa spyod dang thabs la spyod pa dang /_/bsam gtan bde las ldog par spyod pa dang /_/byang chub mchog gi spyod pa gang spyod pa/_/de dag mi shes spyod pa med pa yin/_/
ཟང་ཟིང་གི་སྦྱིན་པ་བྱིན་པས་ནི་ལུས་བརྟན་པ་བྱས་པར་འགྱུར་རོ། །	zang zing gi sbyin pa byin pas ni lus brtan pa byas par 'gyur ro/_/
།དེའི་དད་པ་དེ་ཡང་ངེས་པར་རྩ་ཟུག་ཏུ་བསྟན་པ་ཡིན་ནོ།	/de'i dad pa de yang nges par rtsa zug tu bstan pa yin no/
།བྱང་ཆུབ་ཐེག་པ་ལ་ནི་ཡི་མ་འཆད། །སྟོན་པའི་བསྟན་བཅོས་སྤྱོད་ཡུལ་ཆོ་ག་ཤེས།	/byang chub theg pa la ni yi ma 'chad/_/ston pa'i bstan bcos spyod yul cho ga shes/
།ངོ་ལོན་རི་རབ་ཙམ་ཡང་བྱ་བ་ཡིན།	/ngo lon ri rab tsam yang bya ba yin/
།ཀྱེ་མ་བདག་གི་འདྲེན་པའི་བསྟན་པ་པོ།	/kye ma bdag gi 'dren pa'i bstan pa po/
།སེམས་ཅན་ཀུན་ལ་བྱམས་པའི་སེམས་བསྐྱེད་ནས།	/sems can kun la byams pa'i sems bskyed nas/
།དེ་ནས་དེ་བཞིན་གཤེགས་པ་ཡང་མཐོང་། ཆོས་ཀྱང་ཤེས་པར་འགྱུར་ལ། བྱང་ཆུབ་ཏུ་ལུང་བསྟན་པ་ཡང་ཐོབ་པར་འགྱུར་རོ།	/de nas de bzhin gshegs pa yang mthong /_chos kyang shes par 'gyur la/_byang chub tu lung bstan pa yang thob par 'gyur ro/
།སྤྱོད་པ་དང་ལྡན་པ་ཞེས་བྱ་བའི་འོད་ཟེར་དེས་ནི་སེམས་ཅན་ངོ་ཚ་བ་དང་འཛེམ་པ་མེད་པ་རྣམས་ངོ་ཚ་ཤེས་པ་དང་། ཁྲེལ་ཡོད་པ་ཐོབ་པར་འགྱུར་རོ།	/spyod pa dang ldan pa zhes bya ba'i 'od zer des ni sems can ngo tsha ba dang 'dzem pa med pa rnams ngo tsha shes pa dang /_khrel yod pa thob par 'gyur ro/
།ཚངས་པ་དབང་པོ་འཇིག་རྟེན་སྐྱོང་བ་དང་། །ལྷ་ཀླུ་ལྷ་མིན་མི་འམ་ཅིར་བཅས་པ།	/tshangs pa dbang po 'jig rten skyong ba dang /_/lha klu lha min mi 'am cir bcas pa/
།གཞན་དུ་སྒྲོ་འདོགས་པས་འདྲི་ན་ཚུལ་བཞིན་མ་ཡིན་པར་འདྲིའོ།	/gzhan du sgro 'dogs pas 'dri na tshul bzhin ma yin par 'dri'o/
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ཚངས་པ་གང་དག་འཇིག་རྟེན་གྱི་ཆོས་རྣམས་ཀྱི་མི་འཕྲོགས་པ་རྣམས་སོ།	bcom ldan 'das kyis bka' stsal pa/_tshangs pa gang dag 'jig rten gyi chos rnams kyi mi 'phrogs pa rnams so/
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་འཇིག་རྟེན་གྱི་ཆོས་རྣམས་ལས་ཤིན་ཏུ་འདའ།	de nas bcom ldan 'das la tshangs pa khyad par sems kyis 'di skad ces gsol to/_/bcom ldan 'das ji ltar na byang chub sems dpa' sems dpa' chen po 'jig rten gyi chos rnams las shin tu 'da'/
།མཁས་པ་དེ་དག་བསམ་གཏན་དགའ།	/mkhas pa de dag bsam gtan dga'/
ཉོན་མོངས་པ་མ་མཆིས་པར་དེ་བཞིན་གཤེགས་པས་མངོན་པར་སངས་རྒྱས་སོ།	nyon mongs pa ma mchis par de bzhin gshegs pas mngon par sangs rgyas so/
།དེ་དག་གཟི་བརྗིད་ཀྱིས་ཡིད་ཆགས་པར་འགྱུར་རོ།	/de dag gzi brjid kyis yid chags par 'gyur ro/
གང་འདི་རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་ནས་དགྲ་བཅོམ་པ་ཉིད་ཀྱི་བར་དང་། རང་བྱང་ཆུབ་དང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ནས་མྱ་ངན་ལས་འདས་པའི་བར་དུ་ཁོང་དུ་མི་ཆུད་མི་འཐོབ་བོ།	gang 'di rgyun du zhugs pa'i 'bras bu nas dgra bcom pa nyid kyi bar dang /_rang byang chub dang /_bla na med pa yang dag par rdzogs pa'i byang chub nas mya ngan las 'das pa'i bar du khong du mi chud mi 'thob bo/
།སྨྲས་པ། རིགས་ཀྱི་བུ་ལས་ཁྱུ་མཆོག་ལྟ་བུར་གྱུར་པའི་ཕྱིར་བདག་གི་སྐྱེ་བ་ཡང་དེ་བཞིན་དུ་བལྟའོ།	/smras pa/_rigs kyi bu las khyu mchog lta bur gyur pa'i phyir bdag gi skye ba yang de bzhin du blta'o/
།འོད་དེ་དག་གཏང་མ་ཐག་ཏུ་འོག་གི་ཕྱོགས་ནས་བྱང་ཆུབ་སེམས་དཔའ་བཞི་བྱུང་སྟེ།	/'od de dag gtang ma thag tu 'og gi phyogs nas byang chub sems dpa' bzhi byung ste/
།བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་དྲ་བ་ཅན་གྱི་འོད་ཀྱིས་སངས་རྒྱས་ཀྱི་ཞིང་གི་ཡོན་ཏན་བཀོད་པ་བཤད་དུ་གསོལ།	/bcom ldan 'das byang chub sems dpa' dra ba can gyi 'od kyis sangs rgyas kyi zhing gi yon tan bkod pa bshad du gsol/
།ཞེས་དེ་སྐད་ཟེར་བ་ནི་དེ་བཞིན་ཉིད་དང་། ཆོས་ཀྱི་དབྱིངས་ཇི་ལྟ་བུར་ལུང་བསྟན་པ་དེ་ལྟ་བུར་ཡང་ལུང་བསྟན་ཏོ། །	/zhes de skad zer ba ni de bzhin nyid dang /_chos kyi dbyings ji lta bur lung bstan pa de lta bur yang lung bstan to/_/
།བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་དགེ་བའི་རྩ་བ་ཡོངས་སུ་དག་པ་གང་ལགས།	/bcom ldan 'das byang chub sems dpa' rnams kyi dge ba'i rtsa ba yongs su dag pa gang lags/
སྨྲས་པ། གང་འཁོར་བ་དང་། མྱ་ངན་ལས་འདས་པ་ལ་མི་གནས་པ་རྣམས་སོ། །	smras pa/_gang 'khor ba dang /_mya ngan las 'das pa la mi gnas pa rnams so/_/
སྨྲས་པ། འཇམ་དཔལ་དེ་ནི་མ་ཡིན་ནོ།	smras pa/_'jam dpal de ni ma yin no/
།མ་རིག་པ་མངོན་པར་འདུ་མི་བྱེད་པ་དང་། འདུ་བྱེད་མི་འཇུག་པས་ཀྱང་ཉེ་བར་མི་སྦྱོར་ཏེ།	/ma rig pa mngon par 'du mi byed pa dang /_'du byed mi 'jug pas kyang nye bar mi sbyor te/
།འཇིག་རྟེན་གྱི་ཁམས་དེ་སྤོས་ཐམས་ཅད་ཀྱིས་ཡོངས་སུ་བསྒོས་པས། རེག་ན་ཤིང་བལ་ལྟར་འཇམ་པ། གོས་ཀ་ཙ་ལིན་དི་ཀ་ལྟར་རེག་ན་བདེ་བ། རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་མཉམ་པར་བརྒྱན་པར་གྱུར་ཏོ།	/'jig rten gyi khams de spos thams cad kyis yongs su bsgos pas/_reg na shing bal ltar 'jam pa/_gos ka tsa lin di ka ltar reg na bde ba/_rin po che sna bdun gyis mnyam par brgyan par gyur to/
སྨྲས་པ། འདུས་མ་བྱས་ཀྱི་རང་བཞིན་ལ་གནས་སོ།	smras pa/_'dus ma byas kyi rang bzhin la gnas so/
དེ་ལྟར་ཆོས་རྣམས་ཐམས་ཅད་ལ། །བདག་གི་དངོས་པོ་ཡོད་མ་ཡིན།	de ltar chos rnams thams cad la/_/bdag gi dngos po yod ma yin/
།ཆོས་ཀྱི་ཆོས་ཉིད་ཇི་ལྟ་བར། །དེ་དག་ཆོས་རྣམས་སྒོམ་མོད་ཀྱི།	/chos kyi chos nyid ji lta bar/_/de dag chos rnams sgom mod kyi/
སྨྲས་པ། བྱང་ཆུབ་ཇི་ལྟ་བ་བཞིན་དུའོ། །	smras pa/_byang chub ji lta ba bzhin du'o/_/
།དེ་དག་ནི་སྙིང་རྗེ་ཆེན་པོ་ལ་རབ་ཏུ་གནས་པའོ།	/de dag ni snying rje chen po la rab tu gnas pa'o/
།འོད་འདི་ཤིན་ཏུ་ཡིད་འོང་སྡུག་པ་དྲི་མེད་རབ་ཏུ་རྣམ་པར་མཛེས།	/'od 'di shin tu yid 'ong sdug pa dri med rab tu rnam par mdzes/
།འོད་སྲུང་དེ་བཞིན་དུ་སྐྱེས་བུ་དམ་པ་དེ་དག་བསྐལ་པ་བརྒྱད་ཆོས་ཉན་ཏམ་འཆད་ཀྱང་ཆོས་གང་ཡང་བྲི་བའམ་གང་བར་མི་འགྱུར་རོ།	/'od srung de bzhin du skyes bu dam pa de dag bskal pa brgyad chos nyan tam 'chad kyang chos gang yang bri ba'am gang bar mi 'gyur ro/
།སྐྱེ་བོ་ལྡོངས་པ་རྣམས་ཀྱི་མིག་སྐྱེད་པ།	/skye bo ldongs pa rnams kyi mig skyed pa/
སྨྲས་པ། རྟོགས་པར་བྱ་བ་མེད་པའི་ཚུལ་གྱིས་སོ།	smras pa/_rtogs par bya ba med pa'i tshul gyis so/
།བདག་གི་བྱམས་པས་བལྟས་པ་ཡིས།	/bdag gi byams pas bltas pa yis/
༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་བ་སུ་པ་རི་པྲྀཙྪཱ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ། འཕགས་པ་དཔལ་དབྱིག་གིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།	@##/_/rgya gar skad du/_Ar+ya shrI ba su pa ri pr-its+tshA nA ma ma hA yA na sU tra/_bod skad du/_'phags pa dpal dbyig gis zhus pa zhes bya ba theg pa chen po'i mdo/
ད་ནི་དགྱེས་པའི་ཐུགས་ཀྱིས་བདག་ལ་གནང་། །གང་ཞིག་འཇིག་རྟེན་མགོན་པོ་འོད་མཛད་པ། །དོན་དམ་གཟིགས་པ་ལ་ནི་མཆོད་པར་བགྱིད། །	da ni dgyes pa'i thugs kyis bdag la gnang /_/gang zhig 'jig rten mgon po 'od mdzad pa/_/don dam gzigs pa la ni mchod par bgyid/_/
བཅོམ་ལྡན་འདས་དེ་ལྟར་འཚལ་ལོ་ཞེས་གསོལ་ཏེ།	bcom ldan 'das de ltar 'tshal lo zhes gsol te/
དེ་ལྟ་བས་ན་མདོ་སྡེ་འདི། །ཐོས་ནས་ཕྱི་མའི་དུས་ཀྱི་ཚེ། །བཟུང་ཞིང་ཡང་དག་བསྟན་པ་དང་། །གཞན་དག་ལ་ཡང་བསྟན་པར་གྱིས། །	de lta bas na mdo sde 'di/_/thos nas phyi ma'i dus kyi tshe/_/bzung zhing yang dag bstan pa dang /_/gzhan dag la yang bstan par gyis/_/
མདོ་སྡེ་དམ་པ་དེ་རིང་ངས་བཤད་པའི། །ཆོས་མཆོག་འདི་ཡིས་དེ་ལ་ཕན་འདོགས་འགྱུར། །	mdo sde dam pa de ring ngas bshad pa'i/_/chos mchog 'di yis de la phan 'dogs 'gyur/_/
དེ་བཞིན་གཤེགས་པ་དཔག་མེད་དེ། །སངས་རྒྱས་ཆོས་ལ་ཐེ་ཙོམ་སྤངས། །	de bzhin gshegs pa dpag med de/_/sangs rgyas chos la the tsom spangs/_/
མཁས་པས་དེ་ནི་རིན་ཆེན་དྲ་བ་དག །བླངས་ནས་དེ་ཚེ་ཁྲི་དེ་བརྒྱན་པ་རྣམས། །	mkhas pas de ni rin chen dra ba dag_/blangs nas de tshe khri de brgyan pa rnams/_/
