Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
c+yalu,ཅྱལུ,gcam du,གཅམ་དུ,rKTs (CC BY 4.0): Esukhia
c+yaM,ཅྱྃ,gcam,གཅམ,rKTs (CC BY 4.0): Esukhia
c+yar,ཅྱར,gcar,གཅར,rKTs (CC BY 4.0): Esukhia
gciganyisuM,གཅིགཉིསུྃ,gcig gnyis gsum,གཅིག་གཉིས་གསུམ,rKTs (CC BY 4.0): Esukhia
gciganas,གཅིགནས,gcig gnas,གཅིག་གནས,rKTs (CC BY 4.0)
gcigi,གཅིགི,gcig gi,གཅིག་གི,rKTs (CC BY 4.0): Dzongkha abbreviations
1+i,󲀇,gcig gi,གཅིག་གི,rKTs (CC BY 4.0): Dzongkha abbreviations
gcigis,གཅིགིས,gcig gis,གཅིག་གིས,rKTs (CC BY 4.0): Dzongkha abbreviations
1+is,󲀇ས,gcig gis,གཅིག་གིས,rKTs (CC BY 4.0): Dzongkha abbreviations
gcigaso,གཅིགསོ,gcig gso,གཅིག་གསོ,rKTs (CC BY 4.0): Esukhia
gcigasod,གཅིགསོད,gcig gsod,གཅིག་གསོད,rKTs (CC BY 4.0): Esukhia
gcigis,གཅིགིས,gcig gis,གཅིག་གིས,rKTs (CC BY 4.0): Esukhia
gcigonyis+chod,གཅིགོཉིསྖོད,gcig go gnyis chod,གཅིག་གོ་གཉིས་ཆོད,rKTs (CC BY 4.0): Esukhia
gcigyur,གཅིགྱུར,gcig gyur,གཅིག་གྱུར,rKTs (CC BY 4.0): Esukhia
gcigroDa,གཅིགྲོཌ་,gcig grogs,གཅིག་གྲོགས,rKTs (CC BY 4.0): Esukhia
gac+cho+i+ogo,གཅྖོིོགོ་,gcig chog go,གཅིག་ཆོག་གོ་,rKTs (CC BY 4.0): Esukhia
gcigid,གཅིགིད,gcig nyid,གཅིག་ཉིད,rKTs (CC BY 4.0): Esukhia
1tu,༡ཏུ,gcig tu,གཅིག་ཏུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gcigu,གཅིགུ,gcig tu,གཅིག་ཏུ,rKTs (CC BY 4.0): Esukhia
gcig+tu,གཅིགྟུ,gcig tu,གཅིག་ཏུ,rKTs (CC BY 4.0): Esukhia
1na re,༡ན་རེ,gcig na re,གཅིག་ན་རེ,rKTs (CC BY 4.0): Dzongkha abbreviations
gcigs cuMr,གཅིགས་ཅུཾར,gcig nas bcu gsum bar,གཅིག་ནས་བཅུ་གསུམ་བར,rKTs (CC BY 4.0): Dzongkha abbreviations
gciguMtshungasazhin,གཅིགུྃཚུངསཞིན,gcig mtshungs bzhin,གཅིག་མཚུངས་བཞིན,rKTs (CC BY 4.0): Esukhia
gcigaMni,གཅིགྃནི,gcig min,གཅིག་མིན,rKTs (CC BY 4.0): Esukhia
gcitshig,གཅིཚིག,gcig tshig,གཅིག་ཚིག,rKTs (CC BY 4.0): Esukhia
gcigajaDa,གཅིགཇཌ་,gcig 'jags,གཅིག་འཇགས་,rKTs (CC BY 4.0): Esukhia
gcig+shes,གཅིགྴེས,gcig shes,གཅིག་ཤེས,rKTs (CC BY 4.0): Esukhia
gcig+dud,གཅིགྡུད,gcig sdud,གཅིག་སྡུད,rKTs (CC BY 4.0): Esukhia
gcig+doM,གཅིགྡོྃ་,gcig sdom,གཅིག་སྡོམ་,rKTs (CC BY 4.0): Esukhia
c+yinagaDa,ཅྱིནགཌ་,gcin 'gags,གཅིན་འགགས་,rKTs (CC BY 4.0): Esukhia
c+yin,ཅྱིན,gcin lam,གཅིན་ལམ,rKTs (CC BY 4.0): Esukhia
c+yin+s+nyi,ཅྱིནྶྙི,gcin snyi,གཅིན་སྙི,rKTs (CC BY 4.0): Esukhia
c+yin+tug,ཅྱིནྟུག,gcin stug,གཅིན་སྟུག,rKTs (CC BY 4.0): Esukhia
c+yin+s+ri,ཅྱིནྶྲི,gcin sri,གཅིན་སྲི,rKTs (CC BY 4.0): Esukhia
gcul,གཅུལ,gcu gal,གཅུ་གལ,rKTs (CC BY 4.0)
gco+u,གཅོུ་,gcu bo,གཅུ་བོ,rKTs (CC BY 4.0): Esukhia
gcutsheM,གཅུཚེྃ་,gcu tshem,གཅུ་ཚེམ་,rKTs (CC BY 4.0): Esukhia
gcuDa,གཅུཌ་,gcugs,གཅུགས་,rKTs (CC BY 4.0): Esukhia
gcuDaMkhan,གཅུཌྃཁན,gcugs mkhan,གཅུགས་མཁན,rKTs (CC BY 4.0): Esukhia
gcuMdan+Yodo,གཅུཾདནྻོདོ,gcung don yod,གཅུང་དོན་ཡོད,rKTs (CC BY 4.0): Esukhia
gco+ung,གཅོུང་,gcung bo,གཅུང་བོ་,rKTs (CC BY 4.0): Esukhia
gco+uMng,གཅོུྃང,gcung mo,གཅུང་མོ,rKTs (CC BY 4.0): Esukhia
gcu+eng,གཅེུང,gcen gcung,གཅེན་གཅུང,rKTs (CC BY 4.0): Dzongkha abbreviations
gac+yeM po,གཅྱེྃ་པོ,gcen po,གཅེན་པོ,rKTs (CC BY 4.0): Esukhia
c+yeno,ཅྱེནོ,gcen po,གཅེན་པོ,rKTs (CC BY 4.0): Esukhia
c+yenoM,ཅྱེནོྃ,gcen mo,གཅེན་མོ,rKTs (CC BY 4.0): Esukhia
ceruM,ཅེརུྃ་,gcer bu ma,གཅེར་བུ་མ་,rKTs (CC BY 4.0): Esukhia
c+yeru'i,ཅྱེརུའི,gcer bu'i,གཅེར་བུའི,rKTs (CC BY 4.0): Esukhia
c+yeroM,ཅྱེརོྃ་,gcer mo,གཅེར་མོ་,rKTs (CC BY 4.0): Esukhia
c+yer 'dzin,ཅྱེར་འཛིན,gcer 'dzin,གཅེར་འཛིན,rKTs (CC BY 4.0): Esukhia
c+yer,ཅྱེར,gcer,གཅེར,rKTs (CC BY 4.0): Esukhia
c+yeso,ཅྱེསོ་,gces po,གཅེས་པོ་,rKTs (CC BY 4.0): Esukhia
c+yesrugaM,ཅྱེསྲུགྃ་,gces phrug ma,གཅེས་ཕྲུག་མ་,rKTs (CC BY 4.0): Esukhia
c+yesdus,ཅྱེསྡུས,gces bsdus,གཅེས་བསྡུས,rKTs (CC BY 4.0): Esukhia
gcesdus,གཅེསྡུས,gces bsdus,གཅེས་བསྡུས,rKTs (CC BY 4.0): Dzongkha abbreviations
c+yesingaM,ཅྱེསིངྃ་,gces ming,གཅེས་མིང་,rKTs (CC BY 4.0): Esukhia
c+yesadzin,ཅྱེསཛིན,gces 'dzin,གཅེས་འཛིན,rKTs (CC BY 4.0): Esukhia
c+yeskyong,ཅྱེསྐྱོང,gces skyong,གཅེས་སྐྱོང,rKTs (CC BY 4.0): Esukhia
c+yesras,ཅྱེསྲ྄ས,gces spras,གཅེས་སྤྲས,rKTs (CC BY 4.0): Esukhia
gcespras,གཅེསྤྲས,gces spras,གཅེས་སྤྲས,rKTs (CC BY 4.0): Dzongkha abbreviations
c+yesrung,ཅྱེསྲུང,gces srung,གཅེས་སྲུང,rKTs (CC BY 4.0): Esukhia
gcesrung,གཅེསྲུང༌,gces srung,གཅེས་སྲུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
c+yogos,ཅྱོགོས,gcog dgos,གཅོག་དགོས,rKTs (CC BY 4.0): Esukhia
c+yogakhan,ཅྱོགཁན,gcog mkhan,གཅོག་མཁན,rKTs (CC BY 4.0): Esukhia
c+yogartsis,ཅྱོགརྩིས,gcog rtsis,གཅོག་རྩིས,rKTs (CC BY 4.0): Esukhia
c+yong,ཅྱོང་,gcong,གཅོང་,rKTs (CC BY 4.0): Esukhia
c+yonge,ཅྱོངེ་,gcong nge,གཅོང་ངེ་,rKTs (CC BY 4.0): Esukhia
c+yeng+chen,ཅྱེངྖེན,gcong chen,གཅོང་ཆེན,rKTs (CC BY 4.0): Esukhia
c+yong+Rong,ཅྱོངྼོང,gcong rong,གཅོང་རོང,rKTs (CC BY 4.0): Esukhia
c+yong,ཅྱོང,gcong,གཅོང,rKTs (CC BY 4.0): Esukhia
c+yod+yi,ཅྱོདྱི་,gcod kyi,གཅོད་ཀྱི་,rKTs (CC BY 4.0): Esukhia
c+yedared,ཅྱེདརེད,gcod par byed,གཅོད་པར་བྱེད,rKTs (CC BY 4.0): Esukhia
c+yo+ede,ཅྱོེདེ་,gcod byed de,གཅོད་བྱེད་དེ་,rKTs (CC BY 4.0): Esukhia
c+yodaMtshasaM,ཅྱོདྃཚསྃ,gcod mtshams,གཅོད་མཚམས,rKTs (CC BY 4.0): Esukhia
c+yod,ཅྱོད,gcod,གཅོད,rKTs (CC BY 4.0): Esukhia
c+yoM,ཅྱོྃ,gcom,གཅོམ,rKTs (CC BY 4.0): Esukhia
c+yor+cig,ཅྱོརྕིག,gcor cig,གཅོར་ཅིག,rKTs (CC BY 4.0): Esukhia
ny+yaDa,ཉྱཌ་,gnyags,གཉགས་,rKTs (CC BY 4.0): Esukhia
ny+yanas+yod,ཉྱནསྱོད,gnyan gsod,གཉན་གསོད,rKTs (CC BY 4.0): Esukhia
ny+y+chen,ཉྱྖེན,gnyan chen,གཉན་ཆེན,rKTs (CC BY 4.0): Esukhia
ny+yan+thub,ཉྱནྠུབ,gnyan thub,གཉན་ཐུབ,rKTs (CC BY 4.0): Esukhia
ny+yanadakhyoM,ཉྱནདཁྱོྃ་,gnyan nad 'khyam po,གཉན་ནད་འཁྱམ་པོ,rKTs (CC BY 4.0): Esukhia
ny+yana'in+yed,ཉྱནའིནྱེད,gnyan pa'i gnyad de,གཉན་པའི་གཉད་དེ,rKTs (CC BY 4.0): Esukhia
ny+yon,ཉྱོན,gnyan po,གཉན་པོ,rKTs (CC BY 4.0): Esukhia
ny+yano'i,ཉྱནོའི,gnyan po'i,གཉན་པོའི,rKTs (CC BY 4.0): Esukhia
ny+yanor,ཉྱནོར,gnyan por,གཉན་པོར,rKTs (CC BY 4.0): Esukhia
ny+yan+ran,ཉྱནྲན,gnyan phran,གཉན་ཕྲན,rKTs (CC BY 4.0): Esukhia
ny+yan+bu,ཉྱནྦུ,gnyan bu,གཉན་བུ,rKTs (CC BY 4.0): Esukhia
gnyanatshad,གཉནཚད,gnyan tshad,གཉན་ཚད,rKTs (CC BY 4.0): Esukhia
ny+yan+bur,ཉྱནྦུར,gnyan 'bur,གཉན་འབུར,rKTs (CC BY 4.0): Esukhia
gnyanabraso,གཉནབྲསོ,gnyan 'bras so,གཉན་འབྲས་སོ,rKTs (CC BY 4.0): Esukhia
ny+yan+rin,ཉྱནྲིན,gnyan srin,གཉན་སྲིན,rKTs (CC BY 4.0): Esukhia
nyyan,ཉྱན,gnyan,གཉན ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
ny+yan,ཉྱན,gnyan,གཉན,rKTs (CC BY 4.0): Esukhia
gnyaM,གཉཾ,gnyam,གཉམ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
ny+ya'an+yon,ཉྱའནྱོན,gnya' gnon,གཉའ་གནོན,rKTs (CC BY 4.0): Esukhia
ny+ya'+cag,ཉྱའྕག,gnya' bcag,གཉའ་བཅག,rKTs (CC BY 4.0): Esukhia
ny+ya'arateDa,ཉྱའརཏེཌ་,gnya' bar btegs,གཉའ་བར་བཏེགས་,rKTs (CC BY 4.0): Esukhia
ny+ya'+yed,ཉྱའྱེད,gnya' byed,གཉའ་བྱེད,rKTs (CC BY 4.0): Esukhia
ny+ya'itshiDa,ཉྱའིཚིཌ་,gnya' tshigs,གཉའ་ཚིགས་,rKTs (CC BY 4.0): Esukhia
ny+ya'+cibs,ཉྱའྕིབས,gnya' lcibs,གཉའ་ལྕིབས,rKTs (CC BY 4.0): Esukhia
ny+ya'+tag,ཉྱའྟག,gnya' ltag,གཉའ་ལྟག,rKTs (CC BY 4.0): Esukhia
ny+ya',ཉྱའ,gnya',གཉའ,rKTs (CC BY 4.0): Esukhia
ny+yidaganyid+che,ཉྱིདགཉིདྖེ,gnyid chag gnyid,གཉིད་ཆག་གཉིད,rKTs (CC BY 4.0): Esukhia
ny+yidakroginadu,ཉྱིདཀྲོགིནདུ,gnyid dkrog gin 'dug,གཉིད་དཀྲོག་གིན་འདུག,rKTs (CC BY 4.0): Esukhia
ny+yidang,ཉྱིདང་,gnyid dang,གཉིད་དང་,rKTs (CC BY 4.0): Esukhia
ny+yidus+yi,ཉྱིདུསྱི,gnyid dus kyi,གཉིད་དུས་ཀྱི,rKTs (CC BY 4.0): Esukhia
ny+yidathib,ཉྱིདཐིབ,gnyid 'thib,གཉིད་འཐིབ,rKTs (CC BY 4.0): Esukhia
ny+yid+loganyid,ཉྱིདློགཉིད,gnyid log gnyid,གཉིད་ལོག་གཉིད,rKTs (CC BY 4.0): Esukhia
gnyid+sangs,གཉིདྶངས,gnyid sangs,གཉིད་སངས,rKTs (CC BY 4.0): Esukhia
ny+yid,ཉྱིད,gnyid,གཉིད,rKTs (CC BY 4.0): Esukhia
ny+yil,ཉྱིལ,gnyil,གཉིལ,rKTs (CC BY 4.0): Esukhia
2+is,༢+ཨིས,gnyis kyi,གཉིས་ཀྱི,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
2kyi,༢ཀྱི,gnyis kyi,གཉིས་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyikyi,གཉིཀྱི,gnyis kyi,གཉིས་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
nyis+yi,ཉིསྱི,gnyis kyi,གཉིས་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+yis+yisdog,ཉྱིསྱིསྡོག,gnyis kyis ldog,གཉིས་ཀྱིས་ལྡོག,rKTs (CC BY 4.0): Esukhia
gnyIspyod,གཉཱིསྤྱོད,gnyis gnyis spyod,གཉིས་གཉིས་སྤྱོད,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyisuM,གཉིསུཾ,gnyis gsum,གཉིས་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyiste,གཉིསྟེ,gnyis te,གཉིས་ཏེ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyi+esad,གཉིེསད,gnyis te,གཉིས་ཏེ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
nyite,ཉིཏེ,gnyis te,གཉིས་ཏེ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyisa'i,གཉིསའི,gnyis pa'i,གཉིས་པའི,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+yisanyaM,ཉྱིསཉྃ,gnyis mnyam,གཉིས་མཉམ,rKTs (CC BY 4.0): Esukhia
gnyisaMni,གཉིསྃནི,gnyis min,གཉིས་མིན,rKTs (CC BY 4.0): Esukhia
2^ed,༢ད,gnyis med,གཉིས་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
2ed,༢ེད,gnyis med,གཉིས་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyide,གཉིདེ,gnyis med,གཉིས་མེད,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyi+esad,གཉིེསད,gnyis med,གཉིས་མེད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
gnyisaMdesung,གཉིསྃདེསུང་,gnyis med gsung,གཉིས་མེད་གསུང་,rKTs (CC BY 4.0): Esukhia
gny^ini,གཉི༹ནི,gnyis 'dzin,གཉིས་འཛིན,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyis^in,གཉིསི༹ན,gnyis 'dzin,གཉིས་འཛིན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
gnyisadzinakhri,གཉིསཛིནཁྲི,gnyis 'dzin 'khri,གཉིས་འཛིན་འཁྲི,rKTs (CC BY 4.0): Esukhia
gnyisuMder,གཉིསུྃདེར,gnyis su med par,གཉིས་སུ་མེད་པར,rKTs (CC BY 4.0): Esukhia
ny+yisuMde,ཉྱིསུྃདེ,gnyis su med,གཉིས་སུ་མེད,rKTs (CC BY 4.0): Esukhia
gnyisu+ed,གཉིསེུད,gnyis su med,གཉིས་སུ་མེད,rKTs (CC BY 4.0)
2su,༢སུ,gnyis su,གཉིས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyisu,གཉིསུ,gnyis su,གཉིས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyiso,གཉིསོ,gnyis so,གཉིས་སོ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
gnyiskyes,གཉིསྐྱེས,gnyis skyes,གཉིས་སྐྱེས,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+yiskyes,ཉྱིསྐྱེས,gnyis skyes,གཉིས་སྐྱེས,rKTs (CC BY 4.0): Esukhia
ny+yistong,ཉྱིསྟོང་,gnyis stong,གཉིས་སྟོང་,rKTs (CC BY 4.0): Esukhia
ny+yisnang,ཉྱིསྣང,gnyis snang,གཉིས་སྣང,rKTs (CC BY 4.0): Esukhia
gnyugaM'i,གཉུགྃའི,gnyug ma'i,གཉུག་མའི,rKTs (CC BY 4.0): Esukhia
gnyugaMr,གཉུགྃར,gnyug mar,གཉུག་མར,rKTs (CC BY 4.0): Esukhia
gnyultertsa,གཉུལྟེརྩ,gnyul te rtswa,གཉུལ་ཏེ་རྩྭ,rKTs (CC BY 4.0): Esukhia
ny+ye,ཉྱེ,gnye,གཉེ,rKTs (CC BY 4.0): Esukhia
ny+yenash+yin,ཉྱེནཤྱིན,gnyen gshin,གཉེན་གཤིན,rKTs (CC BY 4.0): Esukhia
gnyain,གཉཻན,gnyen chen,གཉེན་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
gnyeno,གཉེནོ,gnyen po,གཉེན་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+yeno,ཉྱེནོ,gnyen po,གཉེན་པོ,rKTs (CC BY 4.0): Esukhia
ny+yeno'i,ཉྱེནོའི་,gnyen po'i,གཉེན་པོའི་,rKTs (CC BY 4.0): Esukhia
ny+yen+rel,ཉྱེནྲེལ,gnyen 'brel,གཉེན་འབྲེལ,rKTs (CC BY 4.0): Esukhia
ny+yen,ཉྱེན,gnyen,གཉེན,rKTs (CC BY 4.0): Esukhia
ny+yerka,ཉྱེརྐ་,gnyer ka,གཉེར་ཀ,rKTs (CC BY 4.0): Esukhia
ny+yer+kha,ཉྱེརྑ་,gnyer kha,གཉེར་ཁ་,rKTs (CC BY 4.0): Esukhia
ny+yeradaMs,ཉྱེརདྃས,gnyer gdams,གཉེར་གདམས,rKTs (CC BY 4.0): Esukhia
nyeru,ཉེརུ,gnyer du,གཉེར་དུ,rKTs (CC BY 4.0): Esukhia
ny+yeraM'i,ཉྱེརྃའི,gnyer ma'i,གཉེར་མའི,rKTs (CC BY 4.0): Esukhia
ny+yeratshang,ཉྱེརཚང་,gnyer tshang,གཉེར་ཚང་,rKTs (CC BY 4.0): Esukhia
ny+yeradzin,ཉྱེརཛིན,gnyer 'dzin,གཉེར་འཛིན,rKTs (CC BY 4.0): Esukhia
ny+yer,ཉྱེར,gnyer,གཉེར,rKTs (CC BY 4.0): Esukhia
ny+yel,ཉྱེལ,gnyel,གཉེལ,rKTs (CC BY 4.0): Esukhia
ny+yogaM,ཉྱོགྃ,gnyog gam,གཉོག་གམ,rKTs (CC BY 4.0): Esukhia
ny+yoDig,ཉྱོཌིག,gnyogs shig,གཉོགས་ཤིག,rKTs (CC BY 4.0): Esukhia
ny+yong+chu,ཉྱོངྖུ་,gnyong chung,གཉོང་ཆུང་,rKTs (CC BY 4.0): Esukhia
ny+yed+ka,ཉྱེདྐ,gnyod ka,གཉོད་ཀ,rKTs (CC BY 4.0): Esukhia
ny+yed+kha,ཉྱེདྑ,gnyod kha,གཉོད་ཁ,rKTs (CC BY 4.0): Esukhia
n+yod,ནྱོད,gnyod,གཉོད,rKTs (CC BY 4.0): Esukhia
ny+yoMng+chu,ཉྱོྃངྖུ་,gnyom chung,གཉོམ་ཆུང་,rKTs (CC BY 4.0): Esukhia
ny+yos,ཉྱོས,gnyos,གཉོས,rKTs (CC BY 4.0): Esukhia
t+yadar,ཏྱདར,gtad par,གཏད་པར,rKTs (CC BY 4.0): Esukhia
gtado,གཏདོ,gtad so,གཏད་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
t+yad,ཏྱད,gtad,གཏད,rKTs (CC BY 4.0): Esukhia
t+yan+yi,ཏྱནྱི་,gtan gyi,གཏན་གྱི་,rKTs (CC BY 4.0): Esukhia
t+yan,ཏྱན,gtan,གཏན,rKTs (CC BY 4.0): Esukhia
t+yaMper,ཏྱཾཔེར,gtam dper,གཏམ་དཔེར,rKTs (CC BY 4.0): Esukhia
t+yamo,ཏྱམོ,gtam mo,གཏམ་མོ,rKTs (CC BY 4.0): Esukhia
t+yanatshiDa,ཏྱནཚིཌ་,gtam tshogs,གཏམ་ཚོགས་,rKTs (CC BY 4.0): Esukhia
t+yaM,ཏྱྃ,gtam,གཏམ,rKTs (CC BY 4.0): Esukhia
gtaM,གཏཾ,gtam,གཏམ,rKTs (CC BY 4.0): Dzongkha abbreviations
gta'aM,གཏའཾ,gta' ma,གཏའ་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
gtu+ig,གཏིུག,gti mug,གཏི་མུག,rKTs (CC BY 4.0)
gtu+iMg,གཏིུཾག,gti mug,གཏི་མུག,rKTs (CC BY 4.0): Dzongkha abbreviations
gt^i+uT,གཏིུ༹ཊ,gting tshugs,གཏིང་ཚུགས,rKTs (CC BY 4.0): Dzongkha abbreviations
t+ying,ཏྱིང,gting,གཏིང,rKTs (CC BY 4.0): Esukhia
gtibas'i,གཏིབསའི,gtibs pa'i,གཏིབས་པའི,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
gtunu,གཏུནུ,gtun bu,གཏུན་བུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gtu+ing,གཏིུང༌,gtun shing,གཏུན་ཤིང༌,rKTs (CC BY 4.0)
gtuning,་གཏུནིང,gtun shing,གཏུན་ཤིང,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
gtumo,གཏུམོ,gtum po,གཏུམ་པོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
gtu+oM,གཏོུཾ,gtum po,གཏུམ་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
gtumo,གཏུམོ,gtum mo,གཏུམ་མོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
gt^u+iMga,གཏིུ༹ཾག,gtum tshig,གཏུམ་ཚིག,rKTs (CC BY 4.0): Dzongkha abbreviations
gt^od,གཏོ༹ད,gter mdzod,གཏེར་མཛོད,rKTs (CC BY 4.0): Dzongkha abbreviations
t+yer,ཏྱེར,gter,གཏེར,rKTs (CC BY 4.0): Esukhia
t+yong,ཏྱོང,gtong,གཏོང,rKTs (CC BY 4.0): Esukhia
t+yodadzodang,ཏྱོདཛོདང,gtod mdzod dang,གཏོད་མཛོད་དང,rKTs (CC BY 4.0): Esukhia
gtoraM,གཏོརཾ,gtor ma,གཏོར་མ,rKTs (CC BY 4.0)
t+yoMr,ཏྱོཾར,gtor ma,གཏོར་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
t+yor ma,ཏྱོར་མ,gtor ma,གཏོར་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
gtoro,གཏོརོ,gtor ro,གཏོར་རོ,rKTs (CC BY 4.0): Dzongkha abbreviations
t+yor,ཏྱོར,gtor,གཏོར,rKTs (CC BY 4.0): Esukhia
t+yolaMde,ཏྱོལྃདེ་,gtol med,གཏོལ་མེད་,rKTs (CC BY 4.0): Esukhia
gda'i,གདའི,gad pa'i,གད་པའི,rKTs (CC BY 4.0): Esukhia
gdaDasrib,གདཌསྲིབ,gdags srib,གདགས་སྲིབ,rKTs (CC BY 4.0): Esukhia
gdabu,གདབུ,gdab bu,གདབ་བུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gdabya,གདབྱ,gdab bya,གདབ་བྱ,rKTs (CC BY 4.0): Dzongkha abbreviations
gdaMg,གདཾག,gdam ngag,གདམ་ངག,rKTs (CC BY 4.0): Dzongkha abbreviations
gdamg,གདམག,gdam ngag,གདམ་ངག,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
gdaMg,གདཾག,gdams ngag,གདམས་ངག,rKTs (CC BY 4.0): Esukhia
gdaMsapa,གདྃསཔ,gdams pa,གདམས་པ,rKTs (CC BY 4.0): Esukhia
gdaMs,གདཾས,gdams,གདམས,rKTs (CC BY 4.0): Dzongkha abbreviations
gd^ub,གདུ༹བ,gdug rtsub,གདུག་རྩུབ,rKTs (CC BY 4.0)
gduTar,གདུཊར,gdugs dkar,གདུགས་དཀར,rKTs (CC BY 4.0): Dzongkha abbreviations
gd^u+ob,གདོུ༹བ,gdung 'tshob,གདུང་འཚོབ,rKTs (CC BY 4.0): Dzongkha abbreviations
gd^u+in,གདིུ༹ན,gdung 'dzin,གདུང་འཛིན,rKTs (CC BY 4.0)
gdu+in,གདིུན,gdung 'dzin,གདུང་འཛིན,rKTs (CC BY 4.0): Dzongkha abbreviations
gdung d+yud,གདུང་ངྱུད,gdung rgyud,གདུང་རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
gdung ng+yud,གདུང་ངྱུད,gdung rgyud,གདུང་རྒྱུད,rKTs (CC BY 4.0): Dzongkha abbreviations
gdu+en,གདེུན,gdung rten,གདུང་རྟེན,rKTs (CC BY 4.0)
gdubu,གདུབུ,gdub bu,གདུབ་བུ,rKTs (CC BY 4.0)
gdul+ya,གདུལྱ,gdul bya,གདུལ་བྱ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
gdul+ya,གདུལྱ་,gdul bya,གདུལ་བྱ་,rKTs (CC BY 4.0): Esukhia
gdongan,གདོངན,gdong ngan,གདོང་ངན,rKTs (CC BY 4.0): Dzongkha abbreviations
gdongu,གདོངུ,gdong du,གདོང་དུ,rKTs (CC BY 4.0): Dzongkha abbreviations
gadru+og,གདྲོུག,gdong drug,གདོང་དྲུག,rKTs (CC BY 4.0): Dzongkha abbreviations
gan+d+ho la,གནྡྷོ་ལ,gan d+ho la,གན་དྷོ་ལ,rKTs (CC BY 4.0): Dzongkha abbreviations
gn^od,གནོ༹༹ད,gan mdzod,གན་མཛོད,rKTs (CC BY 4.0): Dzongkha abbreviations
gan+ya,གནྱ,gan rgya,གན་རྒྱ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnadon,གནདོན,gnad don,གནད་དོན,rKTs (CC BY 4.0): Dzongkha abbreviations
n+yad,ནྱད,gnad,གནད,rKTs (CC BY 4.0): Esukhia
gnamatsho,གནམཚོ,gnam mtsho,གནམ་མཚོ,rKTs (CC BY 4.0): Dzongkha abbreviations
gnaMcaT,གནཾཅཊ,gnam lcags,གནམ་ལྕགས,rKTs (CC BY 4.0): Dzongkha abbreviations
gn+caMgs,གནྕཾགས,gnam lcags,གནམ་ལྕགས,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
gan+yoMr,གནྱོཾར,gnam sbyor,གནམ་སྦྱོར,rKTs (CC BY 4.0)
gnaM,གནཾ,gnam,གནམ,rKTs (CC BY 4.0)
snaM,སྣཾ,gnam,གནམ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
gnas+yi,གནསྱི,gnas kyis,གནས་ཀྱིས,rKTs (CC BY 4.0): Dzongkha abbreviations
